"index";"bg_categoria"
0;"Medical"
1;"City Building"
1;"Medieval"
1;"Territory Building"
2;"Economic"
2;"Negotiation"
3;"Ancient"
3;"Card Game"
3;"Civilization"
5;"Environmental"
5;"Industry  Manufacturing"
5;"Science Fiction"
5;"Space Exploration"
6;"Trains"
7;"Deduction"
7;"Party Game"
7;"SpiesSecret Agents"
7;"Word Game"
9;"Abstract Strategy"
9;"Puzzle"
9;"Renaissance"
10;"Fighting"
12;"Animals"
12;"Farming"
15;"Fantasy"
16;"Educational"
17;"Dice"
17;"Movies  TV  Radio theme"
20;"Humor"
23;"Adventure"
23;"Exploration"
23;"Miniatures"
24;"Bluffing"
27;"Prehistoric"
31;"Modern Warfare"
31;"Political"
31;"Wargame"
34;"Memory"
35;"Horror"
35;"Zombies"
42;"Mythology"
46;"Novelbased"
47;"Print  Play"
49;"MurderMystery"
52;"Arabian"
53;"Collectible Components"
56;"American West"
61;"Nautical"
65;"Travel"
70;"Realtime"
70;"Transportation"
78;"PostNapoleonic"
93;"World War II"
94;"Civil War"
96;"Comic Book  Strip"
101;"Religious"
102;"Mature  Adult"
106;"Pirates"
108;"Number"
110;"Racing"
116;"Aviation  Flight"
123;"Maze"
147;"Expansion for Basegame"
187;"Sports"
222;"Action  Dexterity"
222;"Electronic"
228;"Video Game Theme"
231;"Childrens Game"
244;"Age of Reason"
255;"Napoleonic"
277;"Trivia"
281;"Mafia"
288;"World War I"
294;"Pike and Shot"
297;"Music"
349;"Math"
370;""
549;"American Indian Wars"
622;"Game System"
986;"American Civil War"
1023;"American Revolutionary War"
1636;"Vietnam War"
1742;"Book"
